date,Market,District,Arrivals,Min,Max,Modal,avg_rainfall,temperature_2m_min,temperature_2m_max,temperature_2m_avg,rain_min,rain_max,rain_avg,soil_temperature_0_to_7cm_min,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_avg,soil_moisture_0_to_7cm_min,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_avg
2019-02-08,NIPPANI,Belagavi,206,35900,35900,35900,0.0,14.8,29.1,20.518751,0.0,0.0,0.0,18.9,31.4,24.122917,0.206,0.209,0.207375
2024-04-18,DODDABALLAPUR,Bengaluru Rural,1273,53000,62450,58340,14.253201048342948,23.5,38.0,30.720833,0.0,0.0,0.0,27.6,40.7,33.727085,0.252,0.255,0.2535
2024-04-29,DODDABALLAPUR,Bengaluru Rural,222,76060,76060,76060,6.878476541177102,23.8,38.2,30.489584,0.0,0.0,0.0,28.05,42.1,34.239582,0.242,0.242,0.242
2024-04-30,DODDABALLAPUR,Bengaluru Rural,224,62280,62280,62280,6.878476541177102,23.8,39.05,31.058334,0.0,0.0,0.0,28.05,42.95,34.631252,0.242,0.242,0.242
2024-05-09,DODDABALLAPUR,Bengaluru Rural,300,51770,51770,51770,41.69217244405593,22.9,32.75,27.362501,0.0,0.4,0.037499998,26.4,36.0,30.570833,0.372,0.406,0.38845834
2024-05-15,DODDABALLAPUR,Bengaluru Rural,299,52920,52920,52920,35.68244873630867,20.25,31.85,26.260416,0.0,3.7,0.18333334,23.55,33.15,28.189583,0.409,0.489,0.43766665
2024-06-05,DODDABALLAPUR,Bengaluru Rural,446,59084,59084,59084,56.33207736975363,21.85,27.8,24.097916,0.0,7.8,0.58750004,23.9,28.55,25.735418,0.465,0.51,0.484375
2024-06-13,DODDABALLAPUR,Bengaluru Rural,1631,56900,61540,58040,11.344334484574084,20.5,28.55,23.141668,0.0,6.6,0.34583333,22.1,27.95,24.197916,0.455,0.5,0.47712502
2024-06-19,DODDABALLAPUR,Bengaluru Rural,680,65500,65500,65500,19.0548347052476,20.0,28.75,23.479166,0.0,7.9,0.40833333,22.7,29.25,25.216667,0.371,0.519,0.43633333
2024-07-03,DODDABALLAPUR,Bengaluru Rural,140,69810,69810,69810,27.30030582715325,19.85,28.3,23.112501,0.0,5.0,0.27916667,22.15,27.85,24.643751,0.425,0.493,0.45483336
2024-07-10,DODDABALLAPUR,Bengaluru Rural,208,58600,58600,58600,27.675575968947623,19.5,29.2,23.25625,0.0,3.3,0.18333334,21.4,29.1,24.620834,0.452,0.491,0.46454167
2024-07-24,DODDABALLAPUR,Bengaluru Rural,435,58120,58120,58120,10.176955565806034,20.65,27.25,23.322916,0.0,0.4,0.06666667,22.15,27.05,24.15,0.458,0.466,0.46216667
2024-07-30,DODDABALLAPUR,Bengaluru Rural,140,52360,52360,52360,24.64710835844848,20.8,23.65,21.797918,0.0,1.0,0.25416666,21.5,23.55,22.758333,0.461,0.489,0.47258332
2024-08-08,DODDABALLAPUR,Bengaluru Rural,437,60190,60190,60190,74.3426038760124,19.35,26.45,22.28125,0.0,3.3,0.51666665,20.45,26.7,23.152084,0.483,0.516,0.49570835
2024-08-19,DODDABALLAPUR,Bengaluru Rural,745,34950,34950,34950,37.2561267656524,20.6,29.1,23.783333,0.0,8.1,0.95,22.95,30.5,25.764582,0.46,0.52,0.47858334
2024-08-21,DODDABALLAPUR,Bengaluru Rural,290,56138,56138,56138,37.2561267656524,20.65,28.1,23.602083,0.0,1.8,0.09583333,22.25,28.85,25.164583,0.472,0.499,0.487625
2024-08-29,DODDABALLAPUR,Bengaluru Rural,375,61720,61720,61720,17.01461458571335,19.65,26.9,22.15,0.0,2.4,0.22083335,21.5,26.6,23.34375,0.439,0.485,0.44870833
2024-09-11,DODDABALLAPUR,Bengaluru Rural,709,56430,56430,56430,1.7969794984864351,19.05,28.05,23.202082,0.0,0.1,0.016666668,21.3,28.1,24.293749,0.412,0.437,0.42541668
2024-10-05,DODDABALLAPUR,Bengaluru Rural,670,56136,56136,56136,77.4791915328414,19.9,25.55,21.791666,0.0,1.5,0.5,21.75,25.7,23.0875,0.432,0.514,0.48895836
2024-11-08,DODDABALLAPUR,Bengaluru Rural,235,63100,63100,63100,0.0,18.1,27.75,22.527084,0.0,0.0,0.0,20.1,28.45,23.960417,0.332,0.345,0.33875
